m0	10 things i hate about you	1999	6.9	62847	['comedy' 'romance']
m1	1492: conquest of paradise	1992	6.2	10421	['adventure' 'biography' 'drama' 'history']
m2	15 minutes	2001	6.1	25854	['action' 'crime' 'drama' 'thriller']
m3	2001: a space odyssey	1968	8.4	163227	['adventure' 'mystery' 'sci-fi']
m4	48 hrs.	1982	6.9	22289	['action' 'comedy' 'crime' 'drama' 'thriller']
m5	the sum of all fears	1966	6.8	198939	['war' 'drama']
m6	legend	1962	7.9	105187	['drama' 'romance']
m7	coyote ugly	1967	4.6	129329	['horror']
m8	sleepy hollow	1941	8.8	73397	['crime' 'drama' 'thriller']
m9	congo	1971	4.5	158783	['horror']
m10	mr. and mrs. smith	1995	7.9	189713	['horror']
m11	daylight	1984	3.9	26929	['comedy' 'romance']
m12	cast away	1998	4.6	53725	['crime' 'drama' 'thriller']
m13	star wars	1938	6.1	171324	['horror']
m14	mission impossible	1948	8.0	31582	['mystery' 'thriller']
m15	halloween	1987	7.7	196794	['comedy' 'romance']
m16	the matrix reloaded	1999	8.3	113900	['fantasy' 'adventure']
m17	ladyhawke	1980	4.0	189372	['sci-fi' 'thriller']
m18	universal soldier	1997	5.7	22411	['drama' 'romance']
m19	dragonheart	1958	4.4	33452	['action' 'adventure']
m20	unforgiven	1957	6.7	122139	['fantasy' 'adventure']
m21	hook	1956	6.8	156353	['crime' 'drama' 'thriller']
m22	interview with the vampire	1982	4.3	143879	['comedy']
m23	the fugitive	1940	3.6	190563	['action' 'crime']
m24	romeo must die	1951	6.3	36653	['sci-fi' 'thriller']
m25	natural born killers	1962	8.0	55473	['action' 'adventure']
m26	gremlins	1970	4.6	131526	['comedy' 'romance']
m27	american pie	1979	4.9	109991	['war' 'drama']
m28	blazing saddles	1954	3.8	194116	['horror']
m29	final destination	1996	7.1	135615	['sci-fi' 'thriller']
m30	chinatown	2002	4.2	39952	['adventure' 'family']
m31	constantine	2003	3.6	115526	['fantasy' 'adventure']
m32	crash	1961	6.8	39419	['comedy']
m33	air force one	1956	6.1	190255	['drama']
m34	hackers	2009	3.8	179019	['adventure' 'family']
m35	shawshank redemption the	2005	6.5	27965	['mystery' 'thriller']
m36	erin brockovich	2009	3.8	50299	['action' 'thriller']
m37	coach carter	1943	7.7	133244	['crime' 'drama' 'thriller']
m38	matrix the	2009	3.7	16761	['crime' 'drama' 'thriller']
m39	van helsing	1979	6.8	132677	['animation' 'comedy' 'family']
m40	wonder boys	2003	4.6	72812	['crime' 'drama' 'thriller']
m41	schindler's list	2003	6.4	125464	['adventure' 'family']
m42	ghost	1969	7.3	68200	['mystery' 'thriller']
m43	speed	2009	8.3	53257	['war' 'drama']
m44	twister	1995	4.2	32032	['sci-fi' 'thriller']
m45	face off	1994	5.2	176089	['comedy' 'romance']
m46	the negotiator	1992	3.9	175648	['action' 'thriller']
m47	solaris	1953	8.3	40637	['drama' 'romance']
m48	dumb and dumber	1984	4.3	36130	['crime' 'drama' 'thriller']
m49	the green mile	1966	7.5	24824	['sci-fi' 'thriller']
m50	jaws	2000	4.4	175218	['war' 'drama']
m51	clueless	1966	4.4	113270	['adventure' 'family']
m52	raiders of the lost ark	1989	5.3	51463	['horror']
m53	one flew over the cuckoo's nest	1978	4.0	96082	['action' 'adventure']
m54	u-571	1981	6.5	115613	['drama' 'romance']
m55	collateral	1940	5.6	135792	['animation' 'comedy' 'family']
m56	war of the worlds	1975	6.3	17003	['drama']
m57	gone in 60 seconds	1967	8.7	27617	['drama']
m58	the ring	1971	5.0	47742	['action' 'thriller']
m59	aladdin	1954	7.9	177352	['war' 'drama']
m60	rocky	1971	5.7	140816	['mystery' 'thriller']
m61	superman	2003	6.6	183760	['horror']
m62	man in the moon	1949	5.0	180558	['comedy']
m63	hitch	1992	8.3	70646	['action' 'adventure']
m64	bridget jones's diary	1949	7.8	22102	['animation' 'comedy' 'family']
m65	evolution	1966	3.9	32047	['crime' 'drama' 'thriller']
m66	alien	1939	5.3	145132	['sci-fi' 'thriller']
m67	us marshals	1972	6.9	11476	['adventure' 'family']
m68	swordfish	1968	8.6	42472	['action' 'thriller']
m69	mrs. doubtfire	1944	4.5	81936	['action' 'crime']
m70	yes man	1977	6.4	54117	['action' 'thriller']
m71	austin powers	1995	6.2	46785	['action' 'thriller']
m72	mr. and mrs. smith 2	1982	7.8	65803	['action' 'adventure']
m73	the sixth sense	1939	3.6	132704	['adventure' 'family']
